"B07001_049E","B07001_065E","B07001_081E","B08101_025E","B11007_001E","B11007_002E","B11007_004E","B11007_005E","B11007_006E","B11007_007E","B11007_009E","B11007_010E","B11007_011E","B11011_001E","B19013_001E","B19083_001E","B23020_001E","B25024_001E","B27020_001E","B27020_003E","B27020_009E","B27020_014E","NAME","state","county"
"1486","222","38","67","7737","2764","1727","1658","69","4973","3929","3639","290","7737","46650","0.4373","39.2","9315","19948","18129","94","81","Fayette County, Illinois","17","051"
"2171","331","10","52","10797","3496","1993","1910","83","7301","5473","4860","613","10797","57308","0.4201","38.3","12050","25735","24298","170","113","Logan County, Illinois","17","107"
"610","258","40","85","9972","3285","1723","1684","39","6687","5253","4970","283","9972","44090","0.4692","38.4","11712","23540","22336","158","53","Saline County, Illinois","17","165"
"17578","18881","3858","15805","246122","67788","43770","41834","1936","178334","147100","138234","8866","246122","89427","0.4847","39.2","264078","685292","534535","61007","43446","Lake County, Illinois","17","097"
"95","358","23","17","5822","1958","1158","1125","33","3864","2943","2781","162","5822","47481","0.4097","38.6","7099","13979","13172","54","1","Massac County, Illinois","17","127"
"280","96","223","12","5043","1548","810","783","27","3495","2801","2553","248","5043","52373","0.4227","38.2","5822","12358","10567","354","762","Cass County, Illinois","17","017"
"1553","541","83","25","14742","4182","2457","2323","134","10560","8235","7584","651","14742","53632","0.3876","37.8","16049","35928","32638","187","286","Huntington County, Indiana","18","069"
"1104","626","49","25","9879","3315","2174","2053","121","6564","5150","4752","398","9879","54576","0.3940","40.5","13123","23866","21011","255","337","White County, Indiana","18","181"
"683","157","12","38","8174","2588","1466","1377","89","5586","4348","3977","371","8174","47658","0.4177","39.3","9253","20638","18514","181","116","Jay County, Indiana","18","075"
"1675","790","136","24","17823","5500","3031","2845","186","12323","10072","9100","972","17823","60404","0.4057","39.6","19329","43731","39971","232","529","Shelby County, Indiana","18","145"
"1272","315","39","0","7644","2505","1539","1441","98","5139","4110","3875","235","7644","50245","0.4296","39.3","8959","18607","16625","161","2","Sullivan County, Indiana","18","153"
"10595","7670","4498","2835","70526","14967","8870","8579","291","55559","39284","30231","9053","70526","53130","0.4703","36.4","76297","189817","154926","5207","14710","Tippecanoe County, Indiana","18","157"
"14809","9215","1574","132","119789","26273","17523","16933","590","93516","77093","71407","5686","119789","98173","0.4444","39.8","126526","321620","284070","13724","9741","Hamilton County, Indiana","18","057"
"2907","1771","1553","129","31452","9081","5276","5103","173","22371","17554","15586","1968","31452","63431","0.4298","39.2","34347","81610","67565","1332","5732","Bartholomew County, Indiana","18","005"
"706","122","15","55","7799","2665","1564","1480","84","5134","3814","3520","294","7799","52034","0.4239","40.4","9703","19898","17395","186","218","Fulton County, Indiana","18","049"
"2476","651","137","25","18276","5125","3101","2929","172","13151","10434","9640","794","18276","56789","0.4006","40.0","20555","46734","41064","783","876","Noble County, Indiana","18","113"
"2818","2783","141","393","44200","12516","7569","7236","333","31684","23490","21531","1959","44200","55630","0.4229","39.1","50564","115007","103865","1684","1133","Clark County, Indiana","18","019"
"9278","3760","393","63","59015","14825","9733","9366","367","44190","36531","34104","2427","59015","81933","0.3918","39.4","61755","161237","144771","4466","2193","Hendricks County, Indiana","18","063"
"1905","1235","69","53","26372","8714","5359","5117","242","17658","13023","11797","1226","26372","44356","0.4197","36.8","30487","65606","59073","456","453","Grant County, Indiana","18","053"
"1248","435","273","98","16753","4889","3017","2813","204","11864","9549","8931","618","16753","51250","0.4209","40.4","19141","43340","38159","612","926","Jackson County, Indiana","18","071"
"1284","272","41","40","8776","2873","1849","1737","112","5903","4533","4086","447","8776","49543","0.4043","39.3","10183","20684","18269","85","82","Owen County, Indiana","18","119"
"1456","245","50","9","13742","4171","2631","2524","107","9571","7612","7082","530","13742","61741","0.4110","39.9","14789","33351","30346","297","138","Whitley County, Indiana","18","183"
"932","444","8","12","12033","3442","2101","2079","22","8591","6689","6108","581","12033","54286","0.3786","38.9","13342","31718","27111","332","1079","Clinton County, Indiana","18","023"
"240","707","0","0","2823","942","513","495","18","1881","1484","1373","111","2823","50375","0.3826","40.9","3256","7057","6313","9","61","Union County, Indiana","18","161"
"863","2020","72","105","18870","5909","3964","3734","230","12961","10789","9976","813","18870","68658","0.4032","38.7","20498","48946","45928","340","222","Dearborn County, Indiana","18","029"
"987","322","129","8","18781","6253","3895","3750","145","12528","9661","8921","740","18781","53610","0.4055","39.3","21157","44932","40617","333","211","Lawrence County, Indiana","18","093"
"658","349","27","0","7615","2605","1459","1436","23","5010","3853","3529","324","7615","52348","0.3985","39.3","8704","17487","16590","90","74","Perry County, Indiana","18","123"
"731","432","0","9","10155","3065","2094","2011","83","7090","5563","5248","315","10155","64196","0.4124","39.0","11508","25318","23980","93","41","Posey County, Indiana","18","129"
"898","72","6","24","8002","2635","1547","1473","74","5367","4237","3940","297","8002","54806","0.4112","40.3","9625","19962","17943","208","167","Carroll County, Indiana","18","015"
"955","185","23","62","6974","2284","1405","1363","42","4690","3664","3331","333","6974","52874","0.4318","39.6","7899","16279","14892","65","30","Fountain County, Indiana","18","045"
"718","471","19","18","8549","3045","1965","1880","85","5504","4499","3955","544","8549","51190","0.4314","38.5","11165","22947","21338","264","153","Starke County, Indiana","18","149"
