"B07001_049E","B07001_065E","B07001_081E","B08101_025E","B11007_001E","B11007_002E","B11007_004E","B11007_005E","B11007_006E","B11007_007E","B11007_009E","B11007_010E","B11007_011E","B11011_001E","B19013_001E","B19083_001E","B23020_001E","B25024_001E","B27020_001E","B27020_003E","B27020_009E","B27020_014E","NAME","state","county"
"1384","415","100","26","12781","4233","2653","2523","130","8548","6661","6125","536","12781","51613","0.4064","38.4","15264","31864","29127","94","134","Greene County, Indiana","18","055"
"1245","212","7","34","10306","3148","2035","1907","128","7158","5779","5414","365","10306","67729","0.4174","39.6","11144","25390","24641","96","88","Benton County, Iowa","19","011"
"1700","3885","378","501","38210","11029","6825","6542","283","27181","20469","18316","2153","38210","63031","0.4478","38.3","41299","95694","90041","975","1089","Dubuque County, Iowa","19","061"
"274","47","8","1","3215","1071","572","566","6","2144","1561","1403","158","3215","52448","0.4083","41.9","3727","6647","6135","114","120","Pocahontas County, Iowa","19","151"
"182","91","0","33","2894","1044","666","636","30","1850","1355","1288","67","2894","48591","0.4593","39.2","3646","7091","6176","76","4","Van Buren County, Iowa","19","177"
"116","28","0","7","1598","596","301","275","26","1002","837","758","79","1598","49255","0.4291","41.7","2006","3608","3379","12","9","Adams County, Iowa","19","003"
"181","109","0","4","2649","889","539","520","19","1760","1201","1076","125","2649","52055","0.4013","41.0","3001","5446","5138","15","11","Audubon County, Iowa","19","009"
"197","118","36","0","3176","1058","604","591","13","2118","1774","1694","80","3176","63404","0.4315","40.0","3597","8811","6381","76","27","Davis County, Iowa","19","051"
"294","55","4","0","3011","1010","645","581","64","2001","1475","1308","167","3011","58427","0.4565","42.0","3446","6779","6479","24","42","Ida County, Iowa","19","093"
"393","81","0","5","3294","1041","592","587","5","2253","1708","1583","125","3294","58269","0.4093","41.4","4011","7681","7323","43","7","Monroe County, Iowa","19","135"
"614","910","112","35","12248","3431","2090","2062","28","8817","7423","6966","457","12248","69844","0.3859","38.0","12928","34404","31616","546","812","Sioux County, Iowa","19","167"
"782","146","6","18","4146","1479","859","833","26","2667","2019","1839","180","4146","52323","0.4332","39.6","5072","9000","8599","55","27","Calhoun County, Iowa","19","025"
"1309","876","326","113","19241","6377","3450","3225","225","12864","9071","8232","839","19241","53963","0.4474","38.4","22348","42212","39351","522","281","Cerro Gordo County, Iowa","19","033"
"639","242","105","3","7148","2438","1299","1259","40","4710","3455","3165","290","7148","54196","0.4164","39.8","8176","16514","15561","151","178","Hardin County, Iowa","19","083"
"337","135","6","0","3701","1258","763","730","33","2443","1893","1760","133","3701","55205","0.4504","39.6","4214","8466","7838","114","70","Lucas County, Iowa","19","117"
"572","120","6","11","3702","1266","650","633","17","2436","1857","1690","167","3702","52932","0.4108","39.3","4596","8808","8264","29","109","Palo Alto County, Iowa","19","147"
"1100","374","18","7","7743","2546","1512","1415","97","5197","4151","3912","239","7743","53501","0.3934","39.1","8373","18803","17487","413","301","Henry County, Iowa","19","087"
"1899","516","31","74","14574","4883","2933","2788","145","9691","7821","7248","573","14574","58952","0.3959","39.8","16298","35416","33914","324","115","Jasper County, Iowa","19","099"
"969","617","110","4","7767","2623","1380","1320","60","5144","3947","3450","497","7767","53852","0.4595","36.5","9134","18108","16693","134","254","Poweshiek County, Iowa","19","157"
"294","337","6","11","7510","2781","1515","1408","107","4729","3581","3237","344","7510","53152","0.4049","40.7","9122","17416","15972","192","229","Clayton County, Iowa","19","043"
"1301","376","52","46","9676","3199","1930","1905","25","6477","5272","4834","438","9676","70395","0.3864","38.0","10414","24540","23621","133","152","Bremer County, Iowa","19","017"
"294","487","82","8","4036","1325","704","693","11","2711","1963","1729","234","4036","51563","0.4333","37.8","4809","9170","8312","126","149","Emmet County, Iowa","19","063"
"275","175","20","5","4790","1595","959","935","24","3195","2579","2372","207","4790","61761","0.4012","40.6","5333","10647","10179","54","44","Hancock County, Iowa","19","081"
"574","300","19","26","8239","2788","1595","1520","75","5451","4309","3910","399","8239","55967","0.4186","40.6","9550","19200","18175","120","65","Jackson County, Iowa","19","097"
"472","881","25","53","14233","4447","2738","2656","82","9786","7351","6707","644","14233","49564","0.4199","39.1","16224","33046","31472","194","112","Lee County, Iowa","19","111"
"2823","879","68","53","19258","5201","3174","3050","124","14057","11551","10831","720","19258","77048","0.4182","38.7","20004","49498","47497","521","156","Warren County, Iowa","19","181"
"767","405","41","57","8927","2726","1637","1576","61","6201","4856","4394","462","8927","54825","0.4444","38.0","9869","21937","20546","160","266","Mahaska County, Iowa","19","123"
"1037","383","75","65","7212","2344","1241","1238","3","4868","3666","3264","402","7212","50521","0.4135","39.9","8232","15975","15034","138","201","Clay County, Iowa","19","041"
"453","80","0","52","6907","2268","1381","1350","31","4639","3755","3533","222","6907","63750","0.4305","41.3","8095","17019","16421","47","44","Delaware County, Iowa","19","055"
"515","53","21","24","3874","1221","725","679","46","2653","2167","2027","140","3874","37519","0.4620","40.7","4797","10465","8188","44","75","Bacon County, Georgia","13","005"
"742","335","28","55","6823","2284","1245","1215","30","4539","3542","3363","179","6823","38857","0.4322","40.4","8173","18645","15724","131","58","Brantley County, Georgia","13","025"
"445","190","21","0","6443","2116","1174","1131","43","4327","3129","2888","241","6443","32229","0.4845","39.2","8001","16642","13431","129","126","Ben Hill County, Georgia","13","017"
"659","135","0","47","8193","2375","1509","1495","14","5818","4651","4444","207","8193","44151","0.4470","39.9","10064","22284","19274","192","67","Burke County, Georgia","13","033"
"2393","2641","2","10","24778","7911","5200","4919","281","16867","13391","12509","882","24778","56235","0.4179","38.7","27359","66207","57551","632","438","Catoosa County, Georgia","13","047"
"895","3110","243","0","2570","310","197","197","0","2260","1819","1689","130","2570","47096","0.4658","45.4","3341","6021","5386","101","161","Chattahoochee County, Georgia","13","053"
"629","322","40","21","9260","3170","1806","1730","76","6090","4496","4123","373","9260","36807","0.4476","40.8","10981","23107","19619","66","141","Chattooga County, Georgia","13","055"
"4594","4989","1539","85","47215","12465","8537","8313","224","34750","28242","26723","1519","47215","82339","0.4004","39.2","57373","146892","126798","5353","3184","Columbia County, Georgia","13","073"
"1684","374","22","75","10084","2920","1887","1772","115","7164","5518","5341","177","10084","41481","0.4790","39.7","12216","25375","20461","116","140","Decatur County, Georgia","13","087"
"3279","1592","172","157","35679","11249","7101","6904","197","24430","19302","18042","1260","35679","48336","0.4750","38.7","40599","95194","78613","1577","2193","Floyd County, Georgia","13","115"
"11265","5716","1332","632","76753","18103","13493","13057","436","58650","52111","49663","2448","76753","107218","0.4017","39.5","80937","227772","175357","16207","16120","Forsyth County, Georgia","13","117"
"2570","473","372","115","15139","5783","3553","3381","172","9356","7536","7059","477","15139","50563","0.4348","39.0","18442","42978","33889","1051","1225","Habersham County, Georgia","13","137"
"1085","359","70","20","9853","3913","2741","2599","142","5940","4420","4144","276","9853","43204","0.4498","38.2","13168","24835","21523","257","61","Hart County, Georgia","13","147"
"3450","4347","644","148","41282","9836","5881","5592","289","31446","23217","20313","2904","41282","42441","0.5179","37.8","47654","109929","90704","1571","1317","Lowndes County, Georgia","13","185"
"514","253","4","17","6042","2794","1934","1875","59","3248","2428","2190","238","6042","49504","0.4294","39.6","9554","14033","11775","165","0","McIntosh County, Georgia","13","191"
"1168","138","7","31","8051","3161","2241","2188","53","4890","3509","3316","193","8051","37121","0.4689","40.0","9997","21019","18011","63","42","Meriwether County, Georgia","13","199"
"1472","413","6","6","9760","3388","1959","1832","127","6372","4610","4347","263","9760","54754","0.5327","38.6","11129","26086","22342","386","232","Monroe County, Georgia","13","207"
"1246","309","69","0","8937","3571","2450","2356","94","5366","4278","3926","352","8937","51606","0.4855","39.9","13148","21488","18056","279","148","Putnam County, Georgia","13","237"
"1433","161","60","5","11510","3620","2311","2135","176","7890","5389","5121","268","11510","36681","0.4751","39.1","13891","29156","24652","353","679","Sumter County, Georgia","13","261"
"52","8","0","0","593","239","185","179","6","354","242","220","22","593","37446","0.4557","39.1","1020","1609","1405","5","20","Taliaferro County, Georgia","13","265"
"147","31","0","2","2244","795","484","476","8","1449","1019","980","39","2244","37203","0.5202","39.5","2976","5225","4527","19","2","Warren County, Georgia","13","301"
"127","173","2","20","2689","966","506","486","20","1723","1314","1219","95","2689","44768","0.4417","41.0","3214","6334","5545","46","34","Wayne County, Iowa","19","185"
"2060","5104","637","575","67021","18919","10985","10176","809","48102","35504","31922","3582","67021","61183","0.4614","38.8","74232","170759","156732","3158","3129","Scott County, Iowa","19","163"
"174","183","0","0","2544","772","412","396","16","1772","1280","1228","52","2544","54754","0.4057","41.0","3128","5861","5170","62","96","Sherman County, Kansas","20","181"
"451","364","22","0","3375","850","585","564","21","2525","1941","1697","244","3375","60124","0.4769","39.4","3593","7701","6839","113","104","Thomas County, Kansas","20","193"
"193","94","10","5","2280","884","603","592","11","1396","1106","1011","95","2280","55658","0.4262","41.2","3215","5482","4962","32","41","Morris County, Kansas","20","127"
"141","35","6","0","2176","783","386","369","17","1393","1047","978","69","2176","49415","0.4012","39.9","2746","4867","4505","27","3","Rooks County, Kansas","20","163"
"86","59","0","0","873","318","169","161","8","555","437","391","46","873","53348","0.3879","42.9","1137","1963","1822","15","26","Clark County, Kansas","20","025"
"212","134","1","0","2265","796","456","446","10","1469","1117","1040","77","2265","49865","0.4152","42.5","3177","5442","4690","12","34","Harper County, Kansas","20","077"
"1918","614","153","89","13569","3306","2085","1918","167","10263","7503","6077","1426","13569","46338","0.4692","38.0","15334","32850","27607","821","1567","Lyon County, Kansas","20","111"
"998","131","8","0","2448","795","572","560","12","1653","914","855","59","2448","49917","0.3951","40.2","3157","5575","4982","28","32","Pawnee County, Kansas","20","145"
"56","0","4","0","751","298","168","168","0","453","312","290","22","751","54821","0.4270","41.5","983","1668","1514","4","2","Comanche County, Kansas","20","033"
"92","49","4","0","1217","442","273","271","2","775","583","534","49","1217","48317","0.4142","42.7","1409","2597","2259","14","8","Gove County, Kansas","20","063"
"1379","869","79","7","13290","4321","2623","2537","86","8969","6994","6548","446","13290","57982","0.3984","40.0","14775","33843","30350","318","404","Harvey County, Kansas","20","079"
"124","152","108","0","1201","377","249","246","3","824","720","653","67","1201","52599","0.4552","41.3","1567","3847","2956","183","124","Kearny County, Kansas","20","093"
"977","665","138","10","12334","3712","2158","2088","70","8622","6428","5918","510","12334","59089","0.4087","39.4","13258","27840","25728","125","186","McPherson County, Kansas","20","113"
"368","94","33","9","5204","1656","1052","1030","22","3548","2687","2515","172","5204","31893","0.4547","40.6","6324","11644","10668","72","167","Desha County, Arkansas","05","041"
"531","428","34","51","4973","2320","1395","1339","56","2653","2159","1939","220","4973","35405","0.4256","40.3","6842","12062","10486","85","32","Fulton County, Arkansas","05","049"
"311","189","0","70","5142","1627","928","907","21","3515","2700","2596","104","5142","36059","0.5110","39.1","6262","13142","11534","212","271","Howard County, Arkansas","05","061"
"3117","2931","117","213","40209","16036","9296","8758","538","24173","18067","16492","1575","40209","44777","0.4807","38.7","50869","97346","85127","1137","856","Garland County, Arkansas","05","051"
"1474","1306","46","56","16389","4526","2552","2447","105","11863","9040","8188","852","16389","39962","0.4727","40.4","20559","41376","37777","230","292","Mississippi County, Arkansas","05","093"
"3472","712","240","159","22579","6648","3997","3871","126","15931","12174","11010","1164","22579","43462","0.4696","38.4","26280","63168","55367","830","1531","Pope County, Arkansas","05","115"
"400","72","0","0","3776","1465","759","744","15","2311","1801","1751","50","3776","42660","0.4579","41.7","4558","8052","7418","7","0","Prairie County, Arkansas","05","117"
"681","906","46","76","15726","4940","3081","2956","125","10786","7920","7606","314","15726","44663","0.4700","39.4","20031","39087","35642","218","296","Union County, Arkansas","05","139"
"225","40","16","15","2932","1008","598","527","71","1924","1450","1328","122","2932","32845","0.5001","42.4","3878","6418","6004","2","27","Woodruff County, Arkansas","05","147"
"899","412","1","0","10783","4532","2829","2760","69","6251","4817","4470","347","10783","44483","0.4501","39.8","16095","24779","22584","50","116","Cleburne County, Arkansas","05","023"
"167","20","0","4","3217","1137","687","687","0","2080","1597","1567","30","3217","46684","0.4257","42.3","4131","8034","7577","10","3","Cleveland County, Arkansas","05","025"
"2211","382","3","0","6137","2200","1192","1154","38","3937","2851","2604","247","6137","34109","0.5010","40.1","7592","14380","13208","60","0","Jackson County, Arkansas","05","067"
"505","496","10","37","8094","2671","1784","1741","43","5423","4330","3970","360","8094","42860","0.4199","39.5","10533","21590","19198","194","223","Hempstead County, Arkansas","05","057"
"1051","366","18","0","7447","3255","1899","1764","135","4192","2852","2656","196","7447","34671","0.4769","39.6","9882","16967","15811","44","39","Sharp County, Arkansas","05","135"
"184","205","0","0","4787","2113","1182","1066","116","2674","2113","2043","70","4787","38188","0.4609","36.1","6919","12361","11331","76","17","Stone County, Arkansas","05","137"
"9692","9424","1142","733","87325","18604","11603","10988","615","68721","52123","44011","8112","87325","50451","0.4851","38.2","93611","230371","186918","5917","10850","Washington County, Arkansas","05","143"
"1328","1118","124","1","18435","8734","5503","5306","197","9701","7318","6658","660","18435","42260","0.4517","38.5","22887","41071","38232","559","128","Baxter County, Arkansas","05","005"
"167","232","28","23","7757","2858","1840","1793","47","4899","3807","3661","146","7757","44744","0.4694","38.9","10183","20123","18301","87","165","Ashley County, Arkansas","05","003"
"6314","1958","648","253","41375","10318","6140","5859","281","31057","23381","20905","2476","41375","47286","0.4816","39.0","45413","106293","94014","1111","1840","Craighead County, Arkansas","05","031"
"2052","1374","39","18","17254","4897","3125","3046","79","12357","10014","9234","780","17254","47056","0.4261","40.1","19007","44420","40721","48","219","Greene County, Arkansas","05","055"
"417","190","5","0","3668","1382","1010","980","30","2286","1917","1844","73","3668","48667","0.4132","38.3","4974","10248","9678","15","34","Perry County, Arkansas","05","105"
"1318","404","11","4","9526","2871","1942","1874","68","6655","5088","4836","252","9526","40921","0.4285","39.7","10998","23560","20767","45","83","Poinsett County, Arkansas","05","111"
"273","103","4","16","5885","1636","1014","957","57","4249","3482","3322","160","5885","47704","0.4595","39.3","6979","16962","12791","405","921","Sevier County, Arkansas","05","133"
"261","22","8","5","1850","765","512","504","8","1085","808","798","10","1850","46417","0.4212","39.5","2929","5147","4639","17","12","Calhoun County, Arkansas","05","013"
"2173","570","61","82","8446","2573","1479","1379","100","5873","4537","3874","663","8446","41620","0.4319","36.6","10533","22049","19816","176","178","Clark County, Arkansas","05","019"
"749","401","14","4","6463","2107","1312","1276","36","4356","3464","3190","274","6463","39993","0.4382","40.4","8005","16250","15083","42","60","Lawrence County, Arkansas","05","075"
"596","196","3","0","3333","1287","621","612","9","2046","1430","1362","68","3333","38468","0.4556","40.6","4422","6971","6325","21","2","Monroe County, Arkansas","05","095"
"504","262","28","0","8309","2817","1563","1485","78","5492","4325","4115","210","8309","42802","0.4812","40.0","9828","20767","19012","186","152","Conway County, Arkansas","05","029"
"240","78","0","0","2936","1303","736","693","43","1633","1155","1107","48","2936","38082","0.4307","36.4","4690","7740","7260","38","57","Newton County, Arkansas","05","101"
"598","221","17","2","7491","2428","1460","1398","62","5063","3777","3325","452","7491","46696","0.4807","41.5","9468","17673","16358","66","42","Arkansas County, Arkansas","05","001"
"2810","1122","437","63","26895","6692","4315","4184","131","20203","16492","15707","785","26895","59094","0.4161","40.4","29387","71226","64652","692","501","Lonoke County, Arkansas","05","085"
"432","572","87","5","11139","4344","2766","2621","145","6795","5255","4876","379","11139","46110","0.4631","39.6","13723","27746","23463","665","530","Carroll County, Arkansas","05","015"
"804","392","124","1","9388","2999","1805","1753","52","6389","4427","4114","313","9388","35348","0.4908","38.6","10990","22635","20495","19","182","St. Francis County, Arkansas","05","123"
"11692","8365","1348","1545","158051","41955","24102","23340","762","116096","80834","72473","8361","158051","51749","0.5090","39.3","184319","386447","341611","7296","6994","Pulaski County, Arkansas","05","119"
"11721","2179","1611","1177","80008","21334","14729","14194","535","58674","50370","46855","3515","80008","53672","0.4719","38.7","85251","268611","187416","26391","32427","Merced County, California","06","047"
"831","306","13","137","7643","3418","2159","2021","138","4225","3083","2780","303","7643","48820","0.4234","37.5","10411","17256","15396","471","420","Mariposa County, California","06","043"
"521","273","8","0","3616","1626","962","863","99","1990","1387","1268","119","3616","45507","0.4003","39.6","5258","8698","7035","174","398","Modoc County, California","06","049"
"45496","12478","9642","59068","394769","122004","82557","77668","4889","272765","225980","207138","18842","394769","99716","0.4672","38.1","413719","1137149","819792","152456","106928","Contra Costa County, California","06","013"
"716","487","22","59","7950","3012","1737","1680","57","4938","3040","2616","424","7950","57316","0.4104","37.5","9572","17607","15157","831","602","Inyo County, California","06","027"
"16377","3095","2552","1854","173898","49378","34065","32206","1859","124520","104187","96698","7489","173898","60704","0.4396","38.3","181748","540181","412755","47631","49106","Stanislaus County, California","06","099"
"18009","8253","4637","6277","145856","46245","29328","27013","2315","99611","81936","68928","13008","145856","74624","0.4815","37.1","157161","437669","320051","32622","41118","Santa Barbara County, California","06","083"
"3358","589","90","66","24189","8459","5380","5020","360","15730","12376","11099","1277","24189","44514","0.4656","38.4","27558","63391","55152","2279","1938","Tehama County, California","06","103"
"453","92","416","1770","4765","1454","942","887","55","3311","2161","1616","545","4765","62260","0.4150","38.4","14116","14198","10552","488","873","Mono County, California","06","051"
"3099","412","253","177","18135","5291","4113","3794","319","12844","11417","10794","623","18135","86958","0.4054","38.4","18970","60212","45981","5074","4635","San Benito County, California","06","069"
"2404","1715","246","4","13048","2747","1777","1672","105","10301","8869","8468","401","13048","72624","0.4280","40.3","14292","35690","30714","790","412","Bryan County, Georgia","13","029"
"3259","194","118","0","8279","2601","1620","1522","98","5678","4678","4301","377","8279","43471","0.5216","39.8","9429","21244","18295","276","333","Butts County, Georgia","13","035"
"2095","4167","189","43","19338","4812","3513","3370","143","14526","11977","11010","967","19338","56951","0.4535","41.9","22044","49044","41277","1048","722","Camden County, Georgia","13","039"
"736","178","33","61","4510","1530","1049","1015","34","2980","2235","2107","128","4510","46283","0.4662","38.2","5362","12189","10521","79","2","Crawford County, Georgia","13","079"
"423","111","1","12","4074","1474","748","745","3","2600","2053","1914","139","4074","30640","0.4996","39.0","4978","10158","8325","85","38","Early County, Georgia","13","099"
"1329","690","104","26","14438","4137","2543","2424","119","10301","7910","7489","421","14438","40859","0.4783","39.7","17286","39642","31103","692","477","Coffee County, Georgia","13","069"
"5125","3225","389","437","52035","13790","9652","9270","382","38245","31551","29260","2291","52035","75913","0.4190","39.8","54626","142697","122728","3298","2811","Coweta County, Georgia","13","077"
"1412","811","115","23","12021","5040","3628","3444","184","6981","5193","4584","609","12021","52625","0.4561","38.6","17130","30217","23329","391","477","Gilmer County, Georgia","13","123"
"4630","1619","367","54","31670","9345","6497","6246","251","22325","19048","18181","867","31670","61599","0.4221","39.2","33794","90570","76648","2433","869","Walton County, Georgia","13","297"
"399","66","4","9","3979","1647","849","842","7","2332","1635","1579","56","3979","37838","0.5082","39.4","5165","9754","8198","78","45","Wilkes County, Georgia","13","317"
"1348","92","45","46","7628","2429","1532","1402","130","5199","3900","3765","135","7628","39302","0.4690","38.3","9848","18900","16716","71","125","Dodge County, Georgia","13","091"
"1727","491","205","189","20561","6086","3607","3488","119","14475","12197","11514","683","20561","45865","0.4646","40.0","22614","56666","45491","1028","1453","Gordon County, Georgia","13","129"
"11049","4346","755","644","88137","23273","15868","15426","442","64864","54604","50734","3870","88137","82740","0.4078","39.8","92193","246374","205614","8169","6097","Cherokee County, Georgia","13","057"
"4093","3725","783","453","40285","13598","9455","9272","183","26687","22811","21848","963","40285","90145","0.4369","39.6","42530","111684","94028","5833","3763","Fayette County, Georgia","13","113"
"1760","493","68","0","10226","2686","1824","1802","22","7540","6317","6070","247","10226","69280","0.3970","40.1","11203","28446","24658","808","122","Lee County, Georgia","13","177"
"1761","570","15","73","11868","4566","3158","3069","89","7302","5938","5470","468","11868","67631","0.4204","39.8","13981","31090","27319","274","194","Pickens County, Georgia","13","227"
"741","357","9","29","7132","3311","2330","2280","50","3821","2884","2695","189","7132","52129","0.5604","38.8","9753","17195","14205","230","180","Greene County, Georgia","13","133"
"532","93","66","12","6217","1986","1110","1040","70","4231","3408","3203","205","6217","41854","0.4604","39.6","7419","17080","13803","34","177","Cook County, Georgia","13","075"
"1236","451","18","0","9041","3347","2348","2282","66","5694","4454","4209","245","9041","66281","0.4338","39.5","11464","24322","20632","478","264","Dawson County, Georgia","13","085"
"48731","36644","10846","39488","410576","86094","48272","45703","2569","324482","205548","174742","30806","410576","69673","0.5414","40.0","471836","1026404","811509","52622","56534","Fulton County, Georgia","13","121"
"1804","6230","1073","1112","69453","27975","19080","17699","1381","41478","31844","28549","3295","69453","62409","0.4708","37.3","87824","197924","166044","11637","10447","Hawaii County, Hawaii","15","001"
"3324","38848","12476","40274","312795","112763","81346","77333","4013","200032","156242","141585","14657","312795","85857","0.4336","39.2","350571","935813","725396","110715","68472","Honolulu County, Hawaii","15","003"
"684","1859","678","219","22658","9106","6585","6138","447","13552","10880","9786","1094","22658","83554","0.4161","38.2","31016","71049","56654","6210","4629","Kauai County, Hawaii","15","007"
"6","0","1","1","39","4","2","2","0","35","11","7","4","39","69375","0.3124","41.2","94","61","58","2","1","Kalawao County, Hawaii","15","005"
"1319","676","124","28","7711","2181","1577","1530","47","5530","4733","4517","216","7711","52935","0.4115","40.8","8747","23371","18788","539","878","Cassia County, Idaho","16","031"
"220","50","47","33","1724","473","273","262","11","1251","1050","1002","48","1724","50053","0.4175","41.1","2001","5295","3824","106","220","Lincoln County, Idaho","16","063"
"357","683","6","47","3869","1691","1220","1182","38","2178","1747","1583","164","3869","64475","0.4613","37.9","12373","10624","9340","48","23","Valley County, Idaho","16","085"
"324","1008","43","54","4397","1304","877","874","3","3093","2748","2619","129","4397","57215","0.3944","37.3","4837","13423","11786","116","58","Franklin County, Idaho","16","041"
"1155","1647","17","32","16384","5305","3477","3288","189","11079","8259","7446","813","16384","58107","0.4223","38.4","17829","39640","34984","581","84","Nez Perce County, Idaho","16","069"
"2010","6928","313","230","62304","19911","12890","12185","705","42393","33527","30240","3287","62304","57242","0.4278","37.8","70892","156102","137964","2034","952","Kootenai County, Idaho","16","055"
"1134","494","153","9","7250","2109","1482","1425","57","5141","4260","4058","202","7250","53370","0.4463","42.4","8201","20655","15404","722","762","Minidoka County, Idaho","16","067"
"2983","3089","120","72","31146","8603","5535","5253","282","22543","17755","16327","1428","31146","52919","0.4369","38.9","33282","84069","68584","2244","3143","Twin Falls County, Idaho","16","083"
"336","838","102","211","7995","2657","1629","1579","50","5338","3610","3407","203","7995","56694","0.4757","39.0","15442","22348","17694","829","955","Blaine County, Idaho","16","013"
